ConstituentID,Nationality,Gender
271680,,f
1943,,f
356610,,f
366254,,f
4201,,f
271753,,f
271755,,f
352228,,f
374416,,f
374437,,f
271767,,f
272357,,f
272362,,f
272374,,f
272378,,f
272381,,f
272388,,f
272407,,f
372604,,f
374750,,f
272424,,f
375902,,f
272433,,f
272439,,f
272441,,f
272443,,f
352233,,f
272446,,f
272456,,f
272462,,f
373622,,f
272485,,f
272974,,f
272975,,f
272980,,f
366272,,f
272993,,f
272996,,f
272997,,f
351761,,f
273013,,f
273019,,f
341892,,f
273023,,f
273024,,f
273025,,f
273034,,f
352236,,f
273036,,f
273037,,f
273039,,f
273047,,f
273057,,f
273064,,f
273074,,f
362410,,f
2973,,f
273094,,f
273097,,f
273115,,f
273118,,f
273119,,f
273127,,f
273727,,f
357681,,f
273734,,f
273742,,f
355032,,f
273752,,f
273765,,f
366290,,f
273784,,f
273801,,f
273806,,f
273813,,f
352245,,f
273828,,f
273829,,f
273832,,f
273848,,f
273854,,f
273872,,f
273885,,f
273892,,f
274491,,f
274496,,f
274514,,f
274518,,f
274520,,f
274527,,f
274528,,f
274529,,f
274532,,f
274537,,f
274540,,f
274544,,f
274546,,f
274547,,f
274548,,f
374294,,f
274549,,f
373654,,f
274562,,f
274564,,f
1891,,f
274573,,f
274578,,f
274599,,f
274608,,f
357703,,f
274611,,f
274626,,f
274639,,f
274645,,f
275273,,f
352257,,f
275290,,f
374349,,f
275310,,f
275321,,f
275323,,f
275329,,f
357714,,f
4639,,f
275381,,f
357717,,f
350783,,f
350734,,f
275405,,f
376144,RCS84,f
372688,,f
372058,,f
374423,,f
275421,,f
374191,,f
276018,,f
341913,,f
344938,,f
276047,,f
352273,,f
276064,,f
2146,,f
276066,,f
371865,,f
276074,,f
276078,,f
276089,,f
374694,,f
371867,,f
276125,,f
276138,,f
276139,,f
276146,,f
276148,,f
276150,,f
276153,,f
276154,,f
276163,,f
276770,,f
276776,,f
276782,,f
276797,,f
372402,,f
372697,,f
371845,,f
373384,,f
276810,,f
276816,,f
276828,,f
276833,,f
352280,,f
276852,,f
276853,,f
276861,,f
276862,,f
276870,,f
357734,,f
276895,,f
276900,,f
276907,,f
276912,,f
9098,,f
2073,,f
277586,,f
372716,,f
277599,,f
374359,,f
277608,,f
374690,,f
277614,,f
277621,,f
1693,,f
277633,,f
277642,,f
374321,,f
374291,,f
277661,,f
277666,,f
277671,,f
372696,,f
277693,,f
372096,,f
372682,,f
352283,,f
277713,,f
371088,,f
357745,,f
277717,,f
372418,,f
357746,,f
372784,,f
277730,,f
277731,,f
350586,,f
278349,,f
278355,,f
278365,,f
341928,,f
349188,,f
278383,,f
278384,,f
357757,,f
278412,,f
352284,,f
352287,,f
278431,,f
278433,,f
325840,,f
278453,,f
278471,,f
278472,,f
278475,,f
278485,,f
362427,,f
278505,,f
278863,,f
278866,,f
278873,,f
278874,,f
370944,,f
278898,,f
278901,,f
278911,,f
349705,,f
278921,,f
278930,,f
278938,,f
362429,,f
357775,,f
278956,,f
278963,,f
278964,,f
278976,,f
278977,,f
278985,,f
278993,,f
278997,,f
279008,,f
279619,,f
342506,,f
279646,,f
2914,,f
279679,,f
279680,,f
352300,,f
279694,,f
279699,,f
279709,,f
279715,,f
279732,,f
279734,,f
279737,,f
279738,,f
279740,,f
374377,,f
374391,,f
279747,,f
279748,,f
352308,,f
279759,,f
371528,,f
374398,,f
280275,,f
280292,,f
280294,,f
280302,,f
280308,,f
280312,,f
280317,,f
280324,,f
1994,,f
371868,,f
280347,,f
349651,,f
280348,,f
352309,,f
373334,,f
280352,,f
280353,,f
371017,,f
352310,,f
374759,,f
280372,,f
280377,,f
280379,,f
280381,,f
280382,,f
2052,,f
280404,,f
343561,,f
281066,,f
352312,,f
281105,,f
281106,,f
281112,,f
362430,,f
281116,,f
281121,,f
372100,,f
356618,,f
281148,,f
373309,,f
374433,,f
281158,,f
281159,,f
281181,,f
281182,,f
281186,,f
281188,,f
326170,,f
357813,,f
372076,,f
374170,,f
371931,,f
281738,,f
371906,,f
2884,,f
281744,,f
10570,,f
281748,,f
281754,,f
281756,,f
281759,,f
281766,,f
374252,,f
281767,,f
5266,,f
374378,,f
349189,,f
281775,,f
281788,,f
349711,,f
281795,,f
281798,,f
281801,,f
281802,,f
371895,,f
371923,,f
281807,,f
374696,,f
281820,,f
281821,,f
281832,,f
281833,,f
371907,,f
371930,,f
281839,,f
281840,,f
2460,,f
281844,,f
281845,,f
281852,,f
349216,,f
282372,,f
282359,,f
371113,,f
2862,,f
282392,,f
370907,,f
282444,,f
350222,,f
282453,,f
374223,,f
282459,,f
282460,,f
374322,,f
282465,,f
374344,,f
370943,,f
282468,,f
374444,,f
282475,,f
351524,,f
282481,,f
282486,,f
356660,,f
282508,,f
282881,,f
372072,,f
282526,,f
282527,,f
282856,,f
282859,,f
282869,,f
282875,,f
282876,,f
282894,,f
282901,,f
282903,,f
351683,,f
9518,,f
282927,,f
282933,,f
282949,,f
282954,,f
282955,,f
282971,,f
282973,,f
282981,,f
282988,,f
282989,,f
282990,,f
283476,,f
283478,,f
283479,,f
283483,,f
3197,,f
