1958,Gustaf Niles Adolf Nordenskiöld,Swedish
1959,Louis Jacques Mandé Daguerre,French
1961,Albert Fernique,French
1962,Allen Ginsberg,American
1963,Read-Stroop Drug Co.,American
1965,Edward Augustus Bromley,American
1966,Northern Pacific Railroad Co.,American
1967,Jack Ellis Haynes,American
1968,Lee Moorhouse,American
1969,Hugo E. Schwichtenberg,American
1971,Dorothea Lange,American
1972,Arthur Mineyard Teakell,American
1973,Ernest H. Dewey,American
1974,Jasper G. Ewing,American
1976,Douglas Leigh,American
1977,Eugene Stamm,American
1978,Art Specialty Co.,American
1979,Xenophon O. Howe,American
1980,Lighty Photo Company,American
1981,Hippolyte Arnoux,French
1982,Joel Greenberg,American
1983,Edward Jean Steichen,American
1984,Lewis Wickes Hine,American
1985,Edward Henry Weston,American
1986,Bruce Davidson,American
1987,Robert Adams,American
1988,Jesse Alexander,American
1989,Morley Baer,American
1990,Lewis Baltz,American
1991,Bruce Barnbaum,American
1992,Ruth Bernhard,American
1994,Marilyn Bridges,American
1995,Wynn Bullock,American
1996,Dr. Harold Eugene Edgerton,American
1997,Elliott Erwitt,American
1998,Don Farber,American
1999,Gary Leon Faye,American
2000,Jo Alison Feiler,American
2001,Susan Felter,American
2002,Jeff Gates,American
2003,Goodwin Harding,American
2004,Erich Hartmann,American
2005,Evelyn Hofer,English
2006,Eikoh Hosoe,Japanese
2007,Yasuhiro Ishimoto,Japanese
2008,Christopher James,American
2009,Pirkle Jones,American
2010,Barbara Kasten,American
2011,Michael Kenna,English
2012,Nathan Bernard Lerner,American
2013,Nancy Lloyd,American
2014,Mary Ellen Mark,American
2015,Roger Marshutz,American
2016,Tom Millea,American
2017,Doug Muir,American
2018,Barbara Norfleet,American
2019,Jenny Okun,American
2020,Arthur Ollman,American
2021,Ted Orland,American
2022,Don Ornitz,American
2023,Olivia Parker,American
2024,Doug Prince,American
2025,Cathy Raff,American
2026,Irene Ray,NULL
2027,Terry Reed,American
2028,Jan Saudek,Czechoslovakian
2029,Eugene Richards,American
2030,Herb Ritts,American
2031,Alan Ross,American
2032,Eva Rubinstein,American
2033,Linda Robbennolt,American
2034,John Sexton,American
2035,Ron Starr,American
2036,Sandra Tasca,American
2037,Reed Thomas,American
2038,George A. Tice,American
2039,Arthur Tress,American
2040,Catherine Wagner,American
2041,Melanie J. Walker,American
2042,Brett Weston,American
2043,Minor White,American
2044,Huntington Witherill,American
2045,Marion Post Wolcott,American
2046,Penny Diane Wolin,American
2047,Don Worth,American
2048,Lou Jacobs Jr.,American
2049,Judy Dater,American
2050,Willard Ames Van Dyke,American
2051,Linda Rich,American
2052,Anne W. Brigman,American
2053,Ansel Adams,American
2054,Brassaï,French
2055,James Edward Abbe,American
2056,Henry Gilpin,American
2058,Vilem Kriz,American
2059,Paul Strand,American
2060,Robert Adamson,Scottish
2061,Julia Margaret Cameron,English
2062,Rev. Charles Lutwidge Dodgson,English
2063,Peter Henry Emerson,English
2064,Frederick Henry Evans,English
2065,Roger Fenton,English
2066,Lady Clementina Hawarden,British
2067,David Octavius Hill,Scottish
2068,Robert Howlett,English
2069,Oscar Gustav Rejlander,English
2070,William Henry Fox Talbot,English
2071,Benjamin Brecknell Turner,English
2072,Faye Godwin,English
2073,Margaret F. Boughton,NULL
2074,Winston Boyer,American
2075,Jo Ann Callis,American
2076,Augustin Victor Casasola,Mexican
2077,Jerry Cooke,American
2078,William Ashford Garnett,American
2079,Roy DeCarava,American
2080,Baron Adolphe De Meyer,German
2081,Jay Dusard,American
2082,Wilma Ervin,American
2083,Arthur Freed,American
2084,Chris Gulker,American
2085,Hiroshi Hamaya,Japanese
2086,Wanda Lee Hammerbeck,American
2087,Fritz Henle,American
2088,Philip J. Hyde,American
2089,Andrea Jennison,American
2090,Les Krims,American
2091,Charles E. Manley,NULL
2092,Wayne Forest Miller,American
2093,William Mortensen,American
2094,Greg O'Loughlin,American
2095,Marion Louise Patterson,American
2096,Sylvia Plachy,American
2097,Leland Rice,American
2100,Harry A. Smith,American
2101,Eve Arnold,American
2102,Jill Freedman,American
2103,Ernst Haas,American
2104,André Kertész,American
2105,Duane Michals,American
2106,Inge Morath,American
2107,Neal Slavin,American
2108,James Van Der Zee,American
2109,Jerry N. Uelsmann,American
2110,Stephen Von Seeger,NULL
2111,James Deane,American
2112,Pepe Diniz,Portuguese
2113,Dana B. Merrill,American
2115,Peter Britt,American
2116,Publisher's Photo Service,American
2118,Jim Dow,American
2119,William R. Brooks,American
2120,Schuyler U. Bunnell,American
2121,Tomer J. Hileman,American
2122,Vivian Ronay,American
2123,Dena,American
2124,Marion Faller,American
2125,James Klukkert,American
2126,Russell Munson,American
2127,Leonard Speier,American
2128,Harvey Zipkin,American
2129,E. Willard Spurr,American
2130,Michel Berthaud,French
2131,Rudolph Eickemeyer Jr.,American
2132,Robert Mahon,American
2133,Lilian Caruana,American
2134,Mittet & Co.,Norwegian
2135,Richard Misrach,American
2136,Bruno Barbey,French
2137,John Ruskin,English
2138,Brian Graham,Canadian
2140,William A. Lucas,American
2141,John K. Hillers,American
2143,Frutkoff & Horn,American
2144,Charles Eiseman,American
2145,Anton Refregier,American
2146,Mabel Thérèse Bonney,American
2147,Rodney Stokes,American
2148,Alvin Langdon Coburn,British
2149,Harry A. Fogg,American
2150,Kaufmann-Fabry,American
2152,Bliss Bros.,American
2153,Harry O. Wilks,American
2154,Keystone View Co.,American
2156,Harvey Stein,American
2157,Garry Winogrand,American
2160,Joan Roth,American
2161,Camilo Jose Vergara,American
2162,Joel D. Levinson,American
2163,Salvation Army Studio,American
2164,Philip Meadows Taylor,British
2167,G. W. Curtiss,American
2169,Ernest James Bellocq,American
2170,Francis Frith & Co.,English
2171,Morris Engel,American
2172,Samuel Bourne,English
2173,Tina Barney,American
2174,Sarah Charlesworth,American
2175,Alfredo Jaar,Chilean
2176,Frank Majore,American
2177,McDermott & McGough,American
2178,Thomas Ruff,German
2179,Andres Serrano,American
2180,Jeff Wall,Canadian
2181,James Welling,American
2182,Joel-Peter Witkin,American
2184,Jan Groover,American
2185,Annette Lemieux,American
2186,Richard Prince,American
2187,Cindy Sherman,American
